cell	rho	k	n	dist	method	n_rep	n_abort	coverage_uncond	coverage_nonabort	lo_miss	hi_miss	med_width	width_ratio_vs_mc
53	0.6	30	5	gaussian	npbootstrap	2000	0	0.9405	0.9405	0.034	0.0255	0.3062605407	1.011147842
53	0.6	30	5	gaussian	searle	2000	0	0.9545	0.9545	0.0215	0.024	0.3063854002	1.011560077
54	0.6	30	5	t5	burch	2000	0	0.8625	0.8625	0.038	0.0995	0.3151469258	1.014050992
54	0.6	30	5	t5	mc	2000	0	0.875	0.875	0.0445	0.0805	0.3107801564	1
54	0.6	30	5	t5	npbootstrap	2000	0	0.923	0.923	0.015	0.062	0.3673475334	1.182017339
54	0.6	30	5	t5	searle	2000	0	0.873	0.873	0.0545	0.0725	0.3151886019	1.014185093
55	0.6	30	5	uniform	burch	2000	0	0.9875	0.9875	0.005	0.0075	0.3041523082	1.003918923
55	0.6	30	5	uniform	mc	2000	0	0.9875	0.9875	0.0055	0.007	0.3029650116	1
55	0.6	30	5	uniform	npbootstrap	2000	0	0.954	0.954	0.0325	0.0135	0.2503478139	0.8263258276
55	0.6	30	5	uniform	searle	2000	0	0.988	0.988	0.007	0.005	0.3067181381	1.012387987
56	0.6	30	5	chisq1	burch	2000	0	0.6655	0.6655	0.098	0.2365	0.3201284589	1.015652693
56	0.6	30	5	chisq1	mc	2000	0	0.676	0.676	0.107	0.217	0.3151948114	1
56	0.6	30	5	chisq1	npbootstrap	2000	0	0.8755	0.8755	0.0195	0.105	0.4981534797	1.580462183
56	0.6	30	5	chisq1	searle	2000	0	0.679	0.679	0.1145	0.2065	0.3185021606	1.010493032
57	0.6	50	5	gaussian	burch	2000	0	0.942	0.942	0.021	0.037	0.238445577	1.008112279
57	0.6	50	5	gaussian	mc	2000	0	0.949	0.949	0.021	0.03	0.2365268056	1
57	0.6	50	5	gaussian	npbootstrap	2000	0	0.9425	0.9425	0.037	0.0205	0.2370768747	1.00232561
57	0.6	50	5	gaussian	searle	2000	0	0.9455	0.9455	0.029	0.0255	0.2383819139	1.007843121
58	0.6	50	5	t5	burch	2000	0	0.846	0.846	0.059	0.095	0.2440011097	1.012735755
58	0.6	50	5	t5	mc	2000	0	0.849	0.849	0.065	0.086	0.2409326504	1
58	0.6	50	5	t5	npbootstrap	2000	0	0.922	0.922	0.0175	0.0605	0.288238479	1.196344616
58	0.6	50	5	t5	searle	2000	0	0.8445	0.8445	0.075	0.0805	0.2433299865	1.009950234
59	0.6	50	5	uniform	burch	2000	0	0.9855	0.9855	0.005	0.0095	0.2366410664	1.001461299
59	0.6	50	5	uniform	mc	2000	0	0.987	0.987	0.006	0.007	0.2362957676	1
59	0.6	50	5	uniform	npbootstrap	2000	0	0.9555	0.9555	0.029	0.0155	0.1921600475	0.8132183214
59	0.6	50	5	uniform	searle	2000	0	0.987	0.987	0.008	0.005	0.2378183031	1.006443346
60	0.6	50	5	chisq1	burch	2000	0	0.6745	0.6745	0.113	0.2125	0.249927736	1.027701712
60	0.6	50	5	chisq1	mc	2000	0	0.6725	0.6725	0.1235	0.204	0.2431909308	1
60	0.6	50	5	chisq1	npbootstrap	2000	0	0.899	0.899	0.024	0.077	0.4182667234	1.719910862
60	0.6	50	5	chisq1	searle	2000	0	0.674	0.674	0.131	0.195	0.244763589	1.006466763
61	0.6	10	2	gaussian	burch	2000	0	0.9285	0.9285	0.0335	0.038	0.7982816252	1.184520188
61	0.6	10	2	gaussian	mc	2000	62	0.929	0.9587203302	0.04127966976	0	0.6739282568	1
61	0.6	10	2	gaussian	npbootstrap	2000	0	0.9245	0.9245	0.0485	0.027	0.904713452	1.34244772
61	0.6	10	2	gaussian	searle	2000	0	0.9425	0.9425	0.026	0.0315	0.8592279172	1.27495458
62	0.6	10	2	t5	burch	2000	0	0.9035	0.9035	0.0455	0.051	0.8425519848	1.237524879
62	0.6	10	2	t5	mc	2000	83	0.899	0.9379238393	0.06207616067	0	0.6808364011	1
62	0.6	10	2	t5	npbootstrap	2000	0	0.9215	0.9215	0.045	0.0335	0.966431209	1.419476408
62	0.6	10	2	t5	searle	2000	0	0.923	0.923	0.0345	0.0425	0.8768826245	1.287949092
63	0.6	10	2	uniform	burch	2000	0	0.9525	0.9525	0.022	0.0255	0.7869151124	1.19137761
63	0.6	10	2	uniform	mc	2000	35	0.956	0.9730279898	0.02697201018	0	0.6605085626	1
63	0.6	10	2	uniform	npbootstrap	2000	0	0.938	0.938	0.043	0.019	0.8529754185	1.291391916
63	0.6	10	2	uniform	searle	2000	0	0.966	0.966	0.016	0.018	0.8335694055	1.262011505
64	0.6	10	2	chisq1	burch	2000	0	0.8405	0.8405	0.051	0.1085	0.9252456409	1.294520081
